transaction_id,account_id,date,merchant_name,merchant_normalized,amount,currency,category,pending,transaction_type,iso_currency_code,merchant_id
t_00034,c_016,2025-09-13,Delta Air Lines,DELTA AIR LINES,579.35,USD,travel,false,purchase,USD,merch_1192
t_00035,c_008,2025-09-12,Whole Foods Market,WHOLE FOODS MARKET,165.40,USD,groceries,false,purchase,USD,merch_7275
t_00036,c_003,2025-08-29,Sephora,SEPHORA,202.84,USD,personal_care,false,purchase,USD,merch_4100
t_00037,c_018,2025-08-16,Whole Foods Market #994,WHOLE FOODS MARKET,111.87,USD,groceries,false,purchase,USD,merch_7275
t_00038,c_009,2025-10-30,Shell Oil Station,SHELL OIL STATION,47.65,USD,fuel,false,purchase,USD,merch_8266
t_00039,c_014,2025-06-06,Grubhub #922,GRUBHUB,48.24,USD,food_delivery,false,purchase,USD,merch_6470
t_00040,c_014,2025-11-08,Stripe Payment,STRIPE PAYMENT,271.53,USD,services,false,purchase,USD,merch_3089
t_00041,c_007,2025-08-07,T-Mobile #681,T-MOBILE,460.78,USD,utilities,false,purchase,USD,merch_3547
t_00042,c_004,2025-08-24,Grubhub,GRUBHUB,35.63,USD,food_delivery,false,purchase,USD,merch_6470
t_00043,c_010,2025-06-20,McDonald's #681,MCDONALD'S,75.53,USD,fast_food,false,purchase,USD,merch_8353
t_00044,c_006,2025-06-04,Adidas,ADIDAS,223.70,USD,retail,true,purchase,USD,merch_7024
t_00045,c_010,2025-09-16,T-Mobile,T-MOBILE,305.30,USD,utilities,false,purchase,USD,merch_3547
t_00046,c_015,2025-07-18,United Airlines,UNITED AIRLINES,962.80,USD,travel,false,purchase,USD,merch_2270
t_00047,c_006,2025-05-24,Costco Wholesale #680,COSTCO WHOLESALE,256.85,USD,groceries,false,purchase,USD,merch_1368
t_00048,c_008,2025-05-20,Hulu #204,HULU,12.99,USD,subscriptions,true,subscription,USD,merch_9712
t_00049,c_008,2025-07-10,Google Play,GOOGLE PLAY,5.30,USD,digital,false,purchase,USD,merch_7969
t_00050,c_019,2025-09-20,Costco Gas,COSTCO GAS,39.52,USD,fuel,false,purchase,USD,merch_0980
t_00051,c_001,2025-10-12,T-Mobile #824,T-MOBILE,479.19,USD,utilities,false,purchase,USD,merch_3547
t_00052,c_002,2025-06-19,Best Buy,BEST BUY,158.81,USD,electronics,false,purchase,USD,merch_0621
t_00053,c_015,2025-05-22,Stripe Payment,STRIPE PAYMENT,299.75,USD,services,false,purchase,USD,merch_3089
t_00054,c_015,2025-06-05,Grubhub,GRUBHUB,73.01,USD,food_delivery,false,purchase,USD,merch_6470
t_00055,c_006,2025-07-10,Airbnb #254,AIRBNB,1015.84,USD,travel,false,purchase,USD,merch_4884
t_00056,c_017,2025-07-07,Microsoft Xbox #451,MICROSOFT XBOX,5.57,USD,digital,false,purchase,USD,merch_4990
t_00057,c_009,2025-08-15,Trader Joe's,TRADER JOE'S,41.43,USD,groceries,false,purchase,USD,merch_3050
t_00058,c_013,2025-05-15,Burger King,BURGER KING,9.82,USD,fast_food,false,purchase,USD,merch_3290
t_00059,c_018,2025-07-12,Verizon Wireless #853,VERIZON WIRELESS,212.97,USD,utilities,false,purchase,USD,merch_2466
t_00060,c_019,2025-05-14,Whole Foods Market,WHOLE FOODS MARKET,308.58,USD,groceries,false,purchase,USD,merch_7275
t_00061,c_001,2025-08-10,Hulu,HULU,19.99,USD,subscriptions,false,subscription,USD,merch_9712
t_00062,c_018,2025-06-07,Southwest Airlines,SOUTHWEST AIRLINES,363.88,USD,travel,false,purchase,USD,merch_1866
t_00063,c_013,2025-08-14,Costco Photo,COSTCO PHOTO,167.68,USD,retail,false,purchase,USD,merch_6856
t_00064,c_015,2025-10-07,Google Play,GOOGLE PLAY,54.51,USD,digital,false,purchase,USD,merch_7969
t_00065,c_001,2025-10-18,Steam,STEAM,52.14,USD,digital,false,purchase,USD,merch_3309
t_00066,c_009,2025-08-03,Trader Joe's #335,TRADER JOE'S,141.63,USD,groceries,false,purchase,USD,merch_3050
t_00067,c_009,2025-07-24,Apple Store,APPLE STORE,572.31,USD,electronics,false,purchase,USD,merch_3164
t_00068,c_002,2025-08-11,Southwest Airlines,SOUTHWEST AIRLINES,948.42,USD,travel,false,purchase,USD,merch_1866
t_00069,c_001,2025-09-06,Delta Air Lines,DELTA AIR LINES,764.54,USD,travel,false,purchase,USD,merch_1192
t_00070,c_016,2025-05-21,Chevron,CHEVRON,37.44,USD,fuel,false,purchase,USD,merch_7341
t_00071,c_012,2025-09-27,Expedia,EXPEDIA,910.11,USD,travel,false,purchase,USD,merch_2761
t_00072,c_006,2025-08-21,Shell Oil Station,SHELL OIL STATION,94.31,USD,fuel,false,purchase,USD,merch_8266
t_00073,c_013,2025-07-30,Delta Air Lines #708,DELTA AIR LINES,1005.16,USD,travel,false,purchase,USD,merch_1192
t_00074,c_010,2025-05-17,Expedia,EXPEDIA,965.66,USD,travel,false,purchase,USD,merch_2761
t_00075,c_002,2025-08-12,Etsy,ETSY,454.13,USD,online_retail,false,purchase,USD,merch_4358
t_00076,c_011,2025-11-05,Verizon Wireless,VERIZON WIRELESS,57.24,USD,utilities,false,purchase,USD,merch_2466
t_00077,c_015,2025-09-30,T-Mobile #535,T-MOBILE,482.91,USD,utilities,false,purchase,USD,merch_3547
t_00078,c_018,2025-07-08,Hotels.com,HOTELS.COM,890.68,USD,travel,false,purchase,USD,merch_6972
t_00079,c_008,2025-10-17,Netflix,NETFLIX,12.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00080,c_019,2025-06-05,Costco Photo,COSTCO PHOTO,21.19,USD,retail,false,purchase,USD,merch_6856
t_00081,c_006,2025-07-07,United Airlines,UNITED AIRLINES,347.11,USD,travel,false,purchase,USD,merch_2270
t_00082,c_020,2025-05-13,Netflix,NETFLIX,29.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00083,c_003,2025-09-08,Verizon Wireless,VERIZON WIRELESS,380.29,USD,utilities,false,purchase,USD,merch_2466
t_00084,c_016,2025-07-17,Whole Foods Market #227,WHOLE FOODS MARKET,167.72,USD,groceries,false,purchase,USD,merch_7275
t_00085,c_019,2025-08-06,Netflix Gift,NETFLIX GIFT,15.49,USD,subscriptions,false,subscription,USD,merch_9637
t_00086,c_018,2025-08-16,Sephora,SEPHORA,139.10,USD,personal_care,false,purchase,USD,merch_4100
t_00087,c_004,2025-09-20,Trader Joe's #549,TRADER JOE'S,380.84,USD,groceries,false,purchase,USD,merch_3050
t_00088,c_007,2025-09-14,Netflix Gift #604,NETFLIX GIFT,29.99,USD,subscriptions,false,subscription,USD,merch_9637
t_00089,c_004,2025-09-20,Spotify #184,SPOTIFY,15.49,USD,subscriptions,true,subscription,USD,merch_4481
t_00090,c_018,2025-10-07,Netflix #56,NETFLIX,29.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00091,c_005,2025-05-29,DoorDash #13,DOORDASH,48.05,USD,food_delivery,false,purchase,USD,merch_4268
t_00092,c_015,2025-08-13,Lyft,LYFT,23.94,USD,ride_share,false,purchase,USD,merch_3632
t_00093,c_004,2025-10-23,AT&T Wireless,AT&T WIRELESS,290.63,USD,utilities,false,purchase,USD,merch_5789
t_00094,c_005,2025-10-01,Adidas,ADIDAS,43.22,USD,retail,false,purchase,USD,merch_7024
t_00095,c_018,2025-07-25,Expedia,EXPEDIA,761.18,USD,travel,false,purchase,USD,merch_2761
t_00096,c_013,2025-07-16,Airbnb #603,AIRBNB,1188.54,USD,travel,false,purchase,USD,merch_4884
t_00097,c_020,2025-10-24,Google Play,GOOGLE PLAY,6.85,USD,digital,false,purchase,USD,merch_7969
t_00098,c_007,2025-09-02,Costco Photo #246,COSTCO PHOTO,77.79,USD,retail,false,purchase,USD,merch_6856
t_00099,c_001,2025-07-27,Airbnb,AIRBNB,590.40,USD,travel,true,purchase,USD,merch_4884
t_00100,c_010,2025-05-12,Spotify,SPOTIFY,19.99,USD,subscriptions,false,subscription,USD,merch_4481
t_00101,c_008,2025-09-02,Microsoft Xbox,MICROSOFT XBOX,48.43,USD,digital,false,purchase,USD,merch_4990
t_00102,c_004,2025-06-22,Southwest Airlines,SOUTHWEST AIRLINES,1094.67,USD,travel,false,purchase,USD,merch_1866
t_00103,c_003,2025-10-24,Uber,UBER,49.63,USD,ride_share,false,purchase,USD,merch_9196
t_00104,c_010,2025-07-19,Chevron,CHEVRON,44.33,USD,fuel,false,purchase,USD,merch_7341
t_00105,c_009,2025-07-03,Etsy,ETSY,110.32,USD,online_retail,true,purchase,USD,merch_4358
t_00106,c_014,2025-08-18,Expedia #94,EXPEDIA,313.26,USD,travel,false,purchase,USD,merch_2761
t_00107,c_019,2025-06-11,Whole Foods Market,WHOLE FOODS MARKET,272.19,USD,groceries,false,purchase,USD,merch_7275
t_00108,c_002,2025-09-25,Netflix Gift,NETFLIX GIFT,19.99,USD,subscriptions,false,subscription,USD,merch_9637
t_00109,c_006,2025-06-12,T-Mobile,T-MOBILE,248.40,USD,utilities,false,purchase,USD,merch_3547
t_00110,c_012,2025-07-27,Safeway,SAFEWAY,50.79,USD,groceries,false,purchase,USD,merch_5547
t_00111,c_014,2025-05-15,DoorDash #968,DOORDASH,35.03,USD,food_delivery,false,purchase,USD,merch_4268
t_00112,c_002,2025-07-15,Costco Wholesale,COSTCO WHOLESALE,136.08,USD,groceries,false,purchase,USD,merch_1368
t_00113,c_013,2025-06-30,Starbucks,STARBUCKS,12.22,USD,coffee,false,purchase,USD,merch_8600
t_00114,c_007,2025-06-29,Home Depot,HOME DEPOT,605.71,USD,home_improvement,false,purchase,USD,merch_6699
t_00115,c_002,2025-09-17,Netflix,NETFLIX,15.49,USD,subscriptions,false,subscription,USD,merch_9684
t_00116,c_016,2025-10-08,Whole Foods Market,WHOLE FOODS MARKET,247.46,USD,groceries,false,purchase,USD,merch_7275
t_00117,c_006,2025-08-21,Nike #418,NIKE,46.35,USD,retail,false,purchase,USD,merch_2678
t_00118,c_004,2025-07-13,Chevron,CHEVRON,32.32,USD,fuel,false,purchase,USD,merch_7341
t_00119,c_010,2025-07-01,Netflix,NETFLIX,19.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00120,c_008,2025-07-15,Nike #196,NIKE,369.53,USD,retail,false,purchase,USD,merch_2678
t_00121,c_005,2025-10-22,Netflix,NETFLIX,19.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00122,c_017,2025-09-01,Starbucks #306,STARBUCKS,17.24,USD,coffee,false,purchase,USD,merch_8600
t_00123,c_016,2025-10-01,Airbnb,AIRBNB,446.89,USD,travel,false,purchase,USD,merch_4884
t_00124,c_018,2025-08-04,Hotels.com,HOTELS.COM,1050.04,USD,travel,false,purchase,USD,merch_6972
t_00125,c_008,2025-06-15,Costco Gas #795,COSTCO GAS,52.86,USD,fuel,false,purchase,USD,merch_0980
t_00126,c_016,2025-05-12,Costco Gas,COSTCO GAS,73.10,USD,fuel,false,purchase,USD,merch_0980
t_00127,c_005,2025-07-05,Walmart #989,WALMART,240.17,USD,retail,false,purchase,USD,merch_6154
t_00128,c_015,2025-10-14,Stripe Payment,STRIPE PAYMENT,12.60,USD,services,false,purchase,USD,merch_3089
t_00129,c_005,2025-10-20,Netflix Gift,NETFLIX GIFT,15.49,USD,subscriptions,false,subscription,USD,merch_9637
t_00130,c_013,2025-05-26,Costco Wholesale,COSTCO WHOLESALE,342.41,USD,groceries,false,purchase,USD,merch_1368
t_00131,c_013,2025-08-19,Microsoft Xbox,MICROSOFT XBOX,45.80,USD,digital,false,purchase,USD,merch_4990
t_00132,c_002,2025-06-03,Target #701,TARGET,369.16,USD,retail,false,purchase,USD,merch_7196
t_00133,c_003,2025-07-20,Shell Oil Station,SHELL OIL STATION,76.31,USD,fuel,false,purchase,USD,merch_8266
t_00134,c_006,2025-05-15,Hulu,HULU,9.99,USD,subscriptions,false,subscription,USD,merch_9712
t_00135,c_002,2025-08-25,Sephora,SEPHORA,77.06,USD,personal_care,false,purchase,USD,merch_4100
t_00136,c_019,2025-05-18,Lyft #81,LYFT,50.71,USD,ride_share,false,purchase,USD,merch_3632
t_00137,c_008,2025-07-04,Booking.com #473,BOOKING.COM,783.59,USD,travel,false,purchase,USD,merch_8428
t_00138,c_001,2025-07-12,Spotify,SPOTIFY,12.99,USD,subscriptions,false,subscription,USD,merch_4481
t_00139,c_012,2025-06-11,Hulu,HULU,19.99,USD,subscriptions,false,subscription,USD,merch_9712
t_00140,c_015,2025-08-23,Delta Air Lines,DELTA AIR LINES,1031.34,USD,travel,false,purchase,USD,merch_1192
t_00141,c_013,2025-06-15,Sephora,SEPHORA,496.38,USD,personal_care,false,purchase,USD,merch_4100
t_00142,c_013,2025-08-30,Starbucks,STARBUCKS,14.66,USD,coffee,false,purchase,USD,merch_8600
t_00143,c_002,2025-06-06,DoorDash,DOORDASH,72.72,USD,food_delivery,false,purchase,USD,merch_4268
t_00144,c_008,2025-06-06,Sephora #195,SEPHORA,312.34,USD,personal_care,false,purchase,USD,merch_4100
t_00145,c_005,2025-06-01,Shell Oil Station,SHELL OIL STATION,71.71,USD,fuel,false,purchase,USD,merch_8266
t_00146,c_015,2025-10-31,Booking.com,BOOKING.COM,201.12,USD,travel,false,purchase,USD,merch_8428
t_00147,c_011,2025-07-25,Lyft #806,LYFT,45.46,USD,ride_share,false,purchase,USD,merch_3632
t_00148,c_017,2025-07-03,Netflix,NETFLIX,15.49,USD,subscriptions,false,subscription,USD,merch_9684
t_00149,c_016,2025-08-25,Safeway,SAFEWAY,192.65,USD,groceries,false,purchase,USD,merch_5547
t_00150,c_008,2025-05-19,AT&T Wireless,AT&T WIRELESS,403.27,USD,utilities,false,purchase,USD,merch_5789
t_00151,c_013,2025-11-05,Apple Store,APPLE STORE,553.92,USD,electronics,false,purchase,USD,merch_3164
t_00152,c_009,2025-06-12,Costco Gas,COSTCO GAS,95.22,USD,fuel,false,purchase,USD,merch_0980
t_00153,c_008,2025-07-11,Whole Foods Market,WHOLE FOODS MARKET,377.84,USD,groceries,false,purchase,USD,merch_7275
t_00154,c_020,2025-09-13,Steam #844,STEAM,28.39,USD,digital,false,purchase,USD,merch_3309
t_00155,c_014,2025-10-10,McDonald's #39,MCDONALD'S,27.83,USD,fast_food,false,purchase,USD,merch_8353
t_00156,c_004,2025-09-09,Etsy #465,ETSY,454.65,USD,online_retail,false,purchase,USD,merch_4358
t_00157,c_018,2025-07-24,Booking.com,BOOKING.COM,227.70,USD,travel,false,purchase,USD,merch_8428
t_00158,c_004,2025-07-06,Google Play,GOOGLE PLAY,57.14,USD,digital,true,purchase,USD,merch_7969
t_00159,c_012,2025-09-14,Airbnb,AIRBNB,321.53,USD,travel,false,purchase,USD,merch_4884
t_00160,c_012,2025-06-22,Steam,STEAM,24.49,USD,digital,false,purchase,USD,merch_3309
t_00161,c_004,2025-07-15,Costco Wholesale,COSTCO WHOLESALE,260.26,USD,groceries,false,purchase,USD,merch_1368
t_00162,c_001,2025-10-27,Safeway #129,SAFEWAY,316.92,USD,groceries,false,purchase,USD,merch_5547
t_00163,c_018,2025-09-16,Booking.com #891,BOOKING.COM,317.95,USD,travel,false,purchase,USD,merch_8428
t_00164,c_020,2025-11-08,Netflix,NETFLIX,12.99,USD,subscriptions,false,subscription,USD,merch_9684
t_00165,c_018,2025-09-05,Lyft #888,LYFT,6.93,USD,ride_share,true,purchase,USD,merch_3632
t_00166,c_008,2025-06-11,Trader Joe's #272,TRADER JOE'S,30.44,USD,groceries,false,purchase,USD,merch_3050
t_00167,c_017,2025-10-10,Target,TARGET,313.43,USD,retail,false,purchase,USD,merch_7196
t_00168,c_004,2025-07-16,Grubhub #630,GRUBHUB,8.25,USD,food_delivery,false,purchase,USD,merch_6470
t_00169,c_017,2025-08-23,Hotels.com,HOTELS.COM,85.82,USD,travel,false,purchase,USD,merch_6972
t_00170,c_013,2025-07-22,Shell Oil Station,SHELL OIL STATION,92.78,USD,fuel,false,purchase,USD,merch_8266
t_00171,c_003,2025-08-18,Expedia #130,EXPEDIA,366.27,USD,travel,false,purchase,USD,merch_2761
t_00172,c_018,2025-08-17,Costco Gas,COSTCO GAS,62.44,USD,fuel,false,purchase,USD,merch_0980
t_00173,c_020,2025-07-21,Shell Oil Station,SHELL OIL STATION,29.15,USD,fuel,false,purchase,USD,merch_8266
t_00174,c_018,2025-09-14,T-Mobile,T-MOBILE,118.10,USD,utilities,false,purchase,USD,merch_3547
t_00175,c_015,2025-07-29,Verizon Wireless,VERIZON WIRELESS,159.71,USD,utilities,false,purchase,USD,merch_2466
t_00176,c_009,2025-08-05,Burger King,BURGER KING,40.57,USD,fast_food,false,purchase,USD,merch_3290
t_00177,c_003,2025-10-16,T-Mobile #757,T-MOBILE,189.46,USD,utilities,false,purchase,USD,merch_3547
t_00178,c_002,2025-06-11,Nike,NIKE,271.31,USD,retail,false,purchase,USD,merch_2678
t_00179,c_014,2025-10-26,Spotify,SPOTIFY,15.49,USD,subscriptions,false,subscription,USD,merch_4481
t_00180,c_017,2025-09-15,Burger King,BURGER KING,21.82,USD,fast_food,false,purchase,USD,merch_3290
t_00181,c_018,2025-08-06,Chevron,CHEVRON,65.93,USD,fuel,false,purchase,USD,merch_7341
t_00182,c_018,2025-06-02,Google Play,GOOGLE PLAY,33.85,USD,digital,false,purchase,USD,merch_7969
t_00183,c_009,2025-11-01,Lyft #781,LYFT,28.17,USD,ride_share,false,purchase,USD,merch_3632
t_00184,c_001,2025-09-23,Burger King,BURGER KING,35.06,USD,fast_food,false,purchase,USD,merch_3290
t_00185,c_001,2025-10-16,Stripe Payment #430,STRIPE PAYMENT,229.55,USD,services,false,purchase,USD,merch_3089
t_00186,c_010,2025-08-17,Adidas,ADIDAS,354.50,USD,retail,false,purchase,USD,merch_7024
t_00187,c_020,2025-10-27,Costco Wholesale #678,COSTCO WHOLESALE,175.37,USD,groceries,false,purchase,USD,merch_1368
t_00188,c_014,2025-08-31,United Airlines,UNITED AIRLINES,180.89,USD,travel,false,purchase,USD,merch_2270
t_00189,c_010,2025-05-19,Booking.com,BOOKING.COM,817.20,USD,travel,true,purchase,USD,merch_8428
t_00190,c_013,2025-06-08,Amazon.com #309,AMAZON.COM,1135.21,USD,online_retail,false,purchase,USD,merch_3850
t_00191,c_009,2025-08-26,Trader Joe's #510,TRADER JOE'S,301.34,USD,groceries,false,purchase,USD,merch_3050
t_00192,c_013,2025-06-25,Southwest Airlines,SOUTHWEST AIRLINES,1008.36,USD,travel,false,purchase,USD,merch_1866
t_00193,c_003,2025-07-30,Walmart,WALMART,189.30,USD,retail,false,purchase,USD,merch_6154
t_00194,c_011,2025-06-14,T-Mobile,T-MOBILE,356.20,USD,utilities,false,purchase,USD,merch_3547
t_00195,c_004,2025-07-28,Whole Foods Market,WHOLE FOODS MARKET,77.03,USD,groceries,false,purchase,USD,merch_7275
t_00196,c_015,2025-05-16,Home Depot #865,HOME DEPOT,140.45,USD,home_improvement,false,purchase,USD,merch_6699
t_00197,c_013,2025-06-27,Costco Wholesale,COSTCO WHOLESALE,131.01,USD,groceries,false,purchase,USD,merch_1368
t_00198,c_011,2025-09-26,Target,TARGET,54.47,USD,retail,false,purchase,USD,merch_7196
t_00199,c_012,2025-08-11,Steam,STEAM,14.94,USD,digital,false,purchase,USD,merch_3309
t_00200,c_007,2025-09-25,Expedia #778,EXPEDIA,803.84,USD,travel,false,purchase,USD,merch_2761
t_00201,c_016,2025-07-13,Adidas,ADIDAS,185.07,USD,retail,false,purchase,USD,merch_7024
t_00202,c_019,2025-05-28,Microsoft Xbox,MICROSOFT XBOX,20.07,USD,digital,false,purchase,USD,merch_4990
t_00203,c_011,2025-10-01,Airbnb #453,AIRBNB,776.09,USD,travel,false,purchase,USD,merch_4884
t_00204,c_019,2025-10-25,Sephora,SEPHORA,158.65,USD,personal_care,false,purchase,USD,merch_4100
t_00205,c_002,2025-08-06,Spotify #885,SPOTIFY,9.99,USD,subscriptions,false,subscription,USD,merch_4481
t_00206,c_017,2025-08-02,Hotels.com,HOTELS.COM,1147.37,USD,travel,false,purchase,USD,merch_6972
t_00207,c_002,2025-07-16,Adidas,ADIDAS,135.40,USD,retail,false,purchase,USD,merch_7024
t_00208,c_005,2025-10-24,Airbnb #921,AIRBNB,1012.98,USD,travel,false,purchase,USD,merch_4884
t_00209,c_003,2025-07-02,Steam #254,STEAM,42.75,USD,digital,false,purchase,USD,merch_3309
t_00210,c_017,2025-06-28,Google Play #382,GOOGLE PLAY,55.16,USD,digital,false,purchase,USD,merch_7969
t_00211,c_011,2025-05-19,Expedia #647,EXPEDIA,794.40,USD,travel,false,purchase,USD,merch_2761
t_00212,c_004,2025-06-19,Costco Gas #742,COSTCO GAS,88.13,USD,fuel,false,purchase,USD,merch_0980
t_00213,c_020,2025-10-01,Safeway #680,SAFEWAY,65.16,USD,groceries,false,purchase,USD,merch_5547
t_00214,c_013,2025-10-06,Expedia,EXPEDIA,147.43,USD,travel,false,purchase,USD,merch_2761
t_00215,c_011,2025-10-07,Costco Photo,COSTCO PHOTO,379.37,USD,retail,false,purchase,USD,merch_6856
t_00216,c_017,2025-10-16,Steam,STEAM,31.00,USD,digital,true,purchase,USD,merch_3309
t_00217,c_010,2025-09-23,United Airlines,UNITED AIRLINES,931.08,USD,travel,false,purchase,USD,merch_2270
t_00218,c_005,2025-09-30,Target #808,TARGET,49.44,USD,retail,false,purchase,USD,merch_7196
t_00219,c_017,2025-10-30,Costco Photo,COSTCO PHOTO,308.86,USD,retail,false,purchase,USD,merch_6856
t_00220,c_013,2025-09-30,Uber #710,UBER,62.83,USD,ride_share,false,purchase,USD,merch_9196
t_00221,c_006,2025-07-19,Walmart,WALMART,273.78,USD,retail,false,purchase,USD,merch_6154
t_00222,c_015,2025-06-05,Spotify,SPOTIFY,19.99,USD,subscriptions,false,subscription,USD,merch_4481
t_00223,c_008,2025-08-21,Netflix Gift,NETFLIX GIFT,12.99,USD,subscriptions,false,subscription,USD,merch_9637
t_00224,c_019,2025-07-19,Hotels.com,HOTELS.COM,944.84,USD,travel,false,purchase,USD,merch_6972
t_00225,c_014,2025-09-28,Delta Air Lines,DELTA AIR LINES,209.16,USD,travel,false,purchase,USD,merch_1192
t_00226,c_016,2025-08-05,Nike,NIKE,287.45,USD,retail,false,purchase,USD,merch_2678
t_00227,c_004,2025-08-28,Costco Wholesale,COSTCO WHOLESALE,116.39,USD,groceries,false,purchase,USD,merch_1368
t_00228,c_005,2025-07-20,Costco Wholesale,COSTCO WHOLESALE,96.59,USD,groceries,false,purchase,USD,merch_1368
t_00229,c_012,2025-11-02,Verizon Wireless #515,VERIZON WIRELESS,190.11,USD,utilities,false,purchase,USD,merch_2466
t_00230,c_003,2025-08-05,Southwest Airlines #954,SOUTHWEST AIRLINES,163.95,USD,travel,false,purchase,USD,merch_1866
t_00231,c_011,2025-10-02,McDonald's #940,MCDONALD'S,67.23,USD,fast_food,false,purchase,USD,merch_8353
t_00232,c_005,2025-05-12,Netflix Gift,NETFLIX GIFT,9.99,USD,subscriptions,false,subscription,USD,merch_9637
t_00233,c_001,2025-09-04,United Airlines,UNITED AIRLINES,681.12,USD,travel,false,purchase,USD,merch_2270
t_00234,c_017,2025-07-23,Chevron,CHEVRON,39.01,USD,fuel,false,purchase,USD,merch_7341
t_00235,c_008,2025-07-24,Microsoft Xbox,MICROSOFT XBOX,27.97,USD,digital,false,purchase,USD,merch_4990
t_00236,c_016,2025-06-09,Etsy #528,ETSY,696.43,USD,online_retail,false,purchase,USD,merch_4358
t_00237,c_010,2025-07-22,Starbucks,STARBUCKS,7.09,USD,coffee,false,purchase,USD,merch_8600
t_00238,c_003,2025-06-27,Home Depot #539,HOME DEPOT,659.74,USD,home_improvement,false,purchase,USD,merch_6699
t_00239,c_017,2025-06-20,Whole Foods Market,WHOLE FOODS MARKET,193.35,USD,groceries,false,purchase,USD,merch_7275
